run_id,split,model,roc_auc,avg_precision,brier_score,raw_brier_score
run_20260806T154718Z,random,MLP Neural Network,0.7263691722347618,0.39944751211119445,0.14240343330714506,0.14253098745284018
run_20260806T154718Z,random,Explainable Boosting Machine,0.7230637817107346,0.3934618570671755,0.14303478080651624,0.1430350126198669
run_20260806T154718Z,random,Logistic Regression,0.7189933255923536,0.38774383890873554,0.1436923338699744,0.1436935062058591
run_20260806T154718Z,random,Probit Regression,0.7189250000199674,0.38735383504445986,0.14371839870379208,0.14371594587761624
run_20260806T154718Z,random,Random Forest,0.7180897572210214,0.3861803102072001,0.1438702450447539,0.2044070844309225
run_20260806T154718Z,random,LightGBM,0.7266923585154056,0.398410354735422,0.14240060131660828,0.21003529353033082
run_20260806T154718Z,random,CatBoost,0.7215265273201382,0.39101399039554785,0.1432839574879782,0.21385105902977453
run_20260806T154718Z,random,Linear SVM,0.7189454495949034,0.3869345518745448,0.1437451960358302,0.22336400903885104
run_20260806T154718Z,random,FT-Transformer,0.7240037944944335,0.39598651304231614,0.142833963728649,0.1429737857789112
run_20260806T154718Z,random,XGBoost,0.7167529319313813,0.3837241359518313,0.14408012937632403,0.21536839284372739
run_20260806T154718Z,temporal,MLP Neural Network,0.7140606251213791,0.396748258783538,0.15389334937443697,0.15501552457043924
run_20260806T154718Z,temporal,Explainable Boosting Machine,0.7096170705772179,0.3889809879600128,0.1549022121259955,0.1557496433726263
run_20260806T154718Z,temporal,Logistic Regression,0.7056906303086031,0.3859404928565038,0.1553660983608001,0.1560546282024011
run_20260806T154718Z,temporal,Probit Regression,0.7055339073425078,0.38524188664956005,0.1554404491882005,0.15596152176089573
run_20260806T154718Z,temporal,Random Forest,0.702976593497106,0.37900581825885404,0.15590865446265276,0.20346477408394853
run_20260806T154718Z,temporal,LightGBM,0.7101578203057082,0.38751611033217054,0.15494127366705832,0.21279955326428202
run_20260806T154718Z,temporal,CatBoost,0.7050289450170617,0.382039594043882,0.15579147390220308,0.2159280011888619
run_20260806T154718Z,temporal,Linear SVM,0.7056489418983326,0.3853211073834407,0.1554716471753877,0.224007506600444
run_20260806T154718Z,temporal,FT-Transformer,0.7101299505399065,0.39003952554566523,0.1546119806216436,0.15591324336641768
run_20260806T154718Z,temporal,XGBoost,0.7037105376014671,0.380628035984854,0.15610302168286644,0.21699029201448017
