feature,coefficient,odds_ratio,sign,interpretation_direction,coefficient_scale,coefficient_source,coefficient_training_rows,prediction_estimator,interpretation_scope
int_rate,0.025164719037117,1.025484023354197,positive,Higher values are associated with higher default odds,"Per one-standard-deviation increase in the cleaned, winsorised feature",full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,Predictive association from the full-training fitted Logistic model
fico_score,-0.1330451949929953,0.8754255263641592,negative,Higher values are associated with lower default odds,"Per one-standard-deviation increase in the cleaned, winsorised feature",full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,Predictive association from the full-training fitted Logistic model
dti,0.1688227713614861,1.1839102975194136,positive,Higher values are associated with higher default odds,"Per one-standard-deviation increase in the cleaned, winsorised feature",full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,Predictive association from the full-training fitted Logistic model
annual_inc,-0.0897567531858312,0.9141535231608102,negative,Higher values are associated with lower default odds,"Per one-standard-deviation increase in the cleaned, winsorised feature",full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,Predictive association from the full-training fitted Logistic model
loan_amnt,-0.1082825050913896,0.8973740478803358,negative,Higher values are associated with lower default odds,"Per one-standard-deviation increase in the cleaned, winsorised feature",full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,Predictive association from the full-training fitted Logistic model
term_months,0.3892009884680509,1.475801140536936,positive,Higher values are associated with higher default odds,"Per one-standard-deviation increase in the cleaned, winsorised feature",full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,Predictive association from the full-training fitted Logistic model
revol_util,0.0355522091603435,1.0361917454168486,positive,Higher values are associated with higher default odds,"Per one-standard-deviation increase in the cleaned, winsorised feature",full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,Predictive association from the full-training fitted Logistic model
credit_history_months,0.0035430991043864,1.0035493832996685,positive,Higher values are associated with higher default odds,"Per one-standard-deviation increase in the cleaned, winsorised feature",full_training_fitted_prediction_model,318136,sklearn_logistic_regression_full_training,Predictive association from the full-training fitted Logistic model
