run_id,split,feature_set,model,validation_roc_auc,validation_avg_precision,tuning_train_rows,validation_rows,validation_source,n_estimators,learning_rate,num_leaves,min_child_samples,subsample,colsample_bytree,selected,interactions,max_rounds,outer_bags,max_depth,iterations,depth,l2_leaf_reg,min_samples_leaf,max_features,hidden_layer_sizes,dropout,lr,weight_decay,batch_size,d_token,n_heads,n_layers
run_20260806T154718Z,temporal,combined,LightGBM,0.7048268834881558,0.41866369521831015,20000,83757,fixed_pipeline_validation_set,300.0,0.05,31.0,50.0,0.85,0.85,False,,,,,,,,,,,,,,,,,
run_20260806T154718Z,temporal,combined,LightGBM,0.7053104908195031,0.4200202853899816,20000,83757,fixed_pipeline_validation_set,500.0,0.03,31.0,80.0,0.9,0.9,True,,,,,,,,,,,,,,,,,
run_20260806T154718Z,temporal,combined,LightGBM,0.6976097600902064,0.41010243312100086,20000,83757,fixed_pipeline_validation_set,350.0,0.05,63.0,100.0,0.8,0.8,False,,,,,,,,,,,,,,,,,
run_20260806T154718Z,temporal,combined,CatBoost,0.7144248487048294,0.43040980264500805,20000,83757,fixed_pipeline_validation_set,,0.05,,,,,True,,,,,300.0,4.0,3.0,,,,,,,,,,
run_20260806T154718Z,temporal,combined,CatBoost,0.7116981131059468,0.42817010557171686,20000,83757,fixed_pipeline_validation_set,,0.05,,,,,False,,,,,350.0,6.0,3.0,,,,,,,,,,
run_20260806T154718Z,temporal,combined,CatBoost,0.7138404993487378,0.43017305506029335,20000,83757,fixed_pipeline_validation_set,,0.03,,,,,False,,,,,500.0,6.0,5.0,,,,,,,,,,
run_20260806T154718Z,temporal,combined,Explainable Boosting Machine,0.7071367763711401,0.4231928357201039,12000,83757,fixed_pipeline_validation_set,,0.015,,,,,False,0.0,1500.0,4.0,,,,,,,,,,,,,,
run_20260806T154718Z,temporal,combined,Explainable Boosting Machine,0.707085305430516,0.4216242068713019,12000,83757,fixed_pipeline_validation_set,,0.015,,,,,False,10.0,2000.0,4.0,,,,,,,,,,,,,,
run_20260806T154718Z,temporal,combined,Explainable Boosting Machine,0.709324549502172,0.42207283028866094,12000,83757,fixed_pipeline_validation_set,,0.01,,,,,True,10.0,2500.0,4.0,,,,,,,,,,,,,,
run_20260806T154718Z,temporal,combined,Random Forest,0.7105034112663251,0.42389222833962964,20000,83757,fixed_pipeline_validation_set,200.0,,,,,,False,,,,10.0,,,,20.0,sqrt,,,,,,,,
run_20260806T154718Z,temporal,combined,Random Forest,0.7105492431939305,0.42419697791773525,20000,83757,fixed_pipeline_validation_set,250.0,,,,,,False,,,,14.0,,,,30.0,sqrt,,,,,,,,
run_20260806T154718Z,temporal,combined,Random Forest,0.7106713122652438,0.424490208924754,20000,83757,fixed_pipeline_validation_set,300.0,,,,,,False,,,,,,,,50.0,sqrt,,,,,,,,
run_20260806T154718Z,temporal,combined,Random Forest,0.7117169069124305,0.42436363044456316,20000,83757,fixed_pipeline_validation_set,250.0,,,,,,True,,,,18.0,,,,20.0,log2,,,,,,,,
run_20260806T154718Z,temporal,combined,MLP Neural Network,0.7122736693711018,0.424396332877609,12000,83757,fixed_pipeline_validation_set,,,,,,,False,,,,,,,,,,"(128, 64)",0.1,0.001,0.0001,512.0,,,
run_20260806T154718Z,temporal,combined,MLP Neural Network,0.712492367020575,0.4258293743463776,12000,83757,fixed_pipeline_validation_set,,,,,,,True,,,,,,,,,,"(128, 64)",0.15,0.0005,0.0001,256.0,,,
run_20260806T154718Z,temporal,combined,FT-Transformer,0.7125840071192362,0.42359138628054915,12000,83757,fixed_pipeline_validation_set,,,,,,,True,,,,,,,,,,,0.1,0.001,0.0001,512.0,32.0,4.0,2.0
run_20260806T154718Z,temporal,combined,FT-Transformer,0.7105172771725119,0.42506022342799454,12000,83757,fixed_pipeline_validation_set,,,,,,,False,,,,,,,,,,,0.15,0.0005,0.0001,256.0,32.0,4.0,2.0
