run_id,split,feature_set,model,threshold,threshold_source,validation_roc_auc,validation_avg_precision,validation_brier_score,raw_validation_brier_score,roc_auc,gini,ks_statistic,avg_precision,brier_score,raw_brier_score,raw_probability_mean,calibrated_probability_mean,probability_calibration,calibration_slope,calibration_intercept,precision,recall,f1,tn,fp,fn,tp,training_rows,inference_rows,training_device,prediction_estimator,coefficient_source,coefficient_training_rows,supplementary_uncertainty_rows,epochs_trained,best_validation_auc_internal,raw_probability_output,feature_group_label
run_20260806T154718Z,temporal,borrower_financial,LightGBM,0.22426281325937591,validation_best_f1,0.7205864115829841,0.43766177039212717,0.1597237572339995,0.20793540999381763,0.709572973804263,0.41914594760852597,0.307409816244673,0.3866666269412061,0.15528361306989463,0.21611193460918982,0.4532105151511024,0.24105154046237776,validation_sigmoid_on_raw_log_odds,0.9349837412833807,-1.1155951206403902,0.32689802455953015,0.7168883476957663,0.4490370652859469,45237,31518,6045,15307,318136,,CPU,,,,,,,native,Borrower + Financial
run_20260806T154718Z,temporal,borrower_financial,Explainable Boosting Machine,0.22787289769633173,validation_best_f1,0.7201147482529512,0.4374925993610058,0.15980395872491898,0.1623997727494122,0.7091793544728878,0.41835870894577565,0.303670583920133,0.3883456517320688,0.15523299507047264,0.1555212077451608,0.1906552064664062,0.23924930308134745,validation_sigmoid_on_raw_log_odds,0.9216670883914186,0.2251327565549238,0.3299652034261242,0.6928156612963656,0.4470264716547806,46716,30039,6559,14793,318136,,CPU,,,,,,,native,Borrower + Financial
run_20260806T154718Z,temporal,borrower_financial,Logistic Regression,0.23305670278694574,validation_best_f1,0.7153145061515368,0.4323337569843904,0.16075316217475608,0.16310647824293747,0.7045987377323911,0.40919747546478225,0.2978528754117556,0.38444544043798107,0.15602416679212083,0.1562708087434625,0.19237232787822317,0.23764880610422542,validation_sigmoid_on_raw_log_odds,0.9388617650790931,0.22469309550347935,0.33627422620769454,0.6533345822405395,0.44401298618626267,49221,27534,7402,13950,318136,0.0,CPU,sklearn_logistic_regression_full_training,full_training_fitted_prediction_model,318136.0,0.0,,,,Borrower + Financial
run_20260806T154718Z,temporal,borrower_only,LightGBM,0.1999575048377744,validation_best_f1,0.5964098452716912,0.29642801158464854,0.17639237998460416,0.24455949712290978,0.613112762335497,0.2262255246709941,0.168801509642518,0.29126291330156046,0.16603854230597842,0.24103287167166093,0.4908400363287366,0.23274599812335364,validation_sigmoid_on_raw_log_odds,0.9606245114975823,-1.1887193268947165,0.2541294135475072,0.7854065192956163,0.38400769389297246,27535,49220,4582,16770,318136,,CPU,,,,,,,native,Borrower-only
run_20260806T154718Z,temporal,borrower_only,Explainable Boosting Machine,0.20970226081308854,validation_best_f1,0.5958351014805366,0.29814492380735835,0.17639378311606885,0.17873002392748616,0.6126414774262281,0.2252829548524562,0.1674525965029769,0.29566691999856637,0.1659546075719044,0.16692327550478375,0.18632993990678548,0.2332197551750406,validation_sigmoid_on_raw_log_odds,1.017420237757872,0.31448239397474087,0.2576958317928274,0.7507961783439491,0.383695743229497,30577,46178,5321,16031,318136,,CPU,,,,,,,native,Borrower-only
run_20260806T154718Z,temporal,borrower_only,Logistic Regression,0.20675364841878735,validation_best_f1,0.5956651356415049,0.2983098979058443,0.17640546554258926,0.17867792643577524,0.6123941031273228,0.22478820625464557,0.16597201908462988,0.2953400971415099,0.16596963786340424,0.166918948394133,0.18649043065416596,0.23283138013476726,validation_sigmoid_on_raw_log_odds,1.0036065525979607,0.2912429236906281,0.2552212114143535,0.7686399400524541,0.383202773853859,28862,47893,4940,16412,318136,0.0,CPU,sklearn_logistic_regression_full_training,full_training_fitted_prediction_model,318136.0,0.0,,,,Borrower-only
run_20260806T154718Z,temporal,combined,LightGBM,0.23169488661804083,validation_best_f1,0.7203300308984022,0.4375470748396998,0.15973202141852944,0.20813721441919017,0.7101578203057082,0.42031564061141635,0.3078740279995868,0.38751611033217054,0.15494127366705832,0.21279955326428202,0.4474240144131707,0.23625662588402302,validation_sigmoid_on_raw_log_odds,0.9530515855428189,-1.1161199530318866,0.33370270698116195,0.6910828025477707,0.4500770157539156,47292,29463,6596,14756,318136,,CPU,,,,,,,native,Combined
run_20260806T154718Z,temporal,combined,Explainable Boosting Machine,0.2334896327332466,validation_best_f1,0.7195925119798736,0.4376796890854189,0.15983752751660665,0.16263286395412657,0.7096170705772179,0.4192341411544358,0.3047866339544261,0.3889809879600128,0.1549022121259955,0.15574964337262626,0.18469990624565377,0.23435856266108807,validation_sigmoid_on_raw_log_odds,0.9514201849881234,0.27294330792207533,0.33687876060074856,0.6660266017234919,0.44744045558946605,48762,27993,7131,14221,318136,,CPU,,,,,,,native,Combined
run_20260806T154718Z,temporal,combined,Logistic Regression,0.2403173366846103,validation_best_f1,0.7151509708145718,0.4327073355414496,0.16060571959651196,0.16318856220307892,0.7056906303086031,0.41138126061720626,0.3011426359908502,0.3859404928565038,0.1553660983608001,0.1560546282024011,0.18599880240099684,0.23338841086458748,validation_sigmoid_on_raw_log_odds,0.9715481406732253,0.2829270974538929,0.3399155826524819,0.6449512926189584,0.4451951830598885,50013,26742,7581,13771,318136,0.0,CPU,sklearn_logistic_regression_full_training,full_training_fitted_prediction_model,318136.0,0.0,,,,Combined
run_20260806T154718Z,temporal,financial_only,LightGBM,0.2357735608180183,validation_best_f1,0.7153222080249562,0.4294187460771228,0.1607659689481638,0.20857737626618075,0.7026790688741449,0.40535813774828977,0.29719625518701037,0.37867057748103905,0.15640144565746444,0.21709098311858224,0.4521789258936523,0.2411912107418392,validation_sigmoid_on_raw_log_odds,0.9097189906722902,-1.106213981471744,0.3300707896114538,0.679140127388535,0.44423680784253655,47323,29432,6851,14501,318136,,CPU,,,,,,,native,Financial-only
run_20260806T154718Z,temporal,financial_only,Explainable Boosting Machine,0.2291158238998036,validation_best_f1,0.7142730110929467,0.4285186818701028,0.1609649849973854,0.16358456657254355,0.7005950522967994,0.40119010459359883,0.29112189832235663,0.37572576672908087,0.15695801638961757,0.15706683663901308,0.19295275106066992,0.24190160717279513,validation_sigmoid_on_raw_log_odds,0.9014160640708957,0.19852064262175567,0.32473930717568045,0.6884132633945298,0.44130539209799446,46190,30565,6653,14699,318136,,CPU,,,,,,,native,Financial-only
run_20260806T154718Z,temporal,financial_only,Logistic Regression,0.22324493203195833,validation_best_f1,0.709865182847353,0.4238655896068724,0.1618197794029453,0.16427194420143915,0.6956173516484586,0.39123470329691723,0.2860264399049503,0.3730726085180662,0.15763164390791368,0.1578387985191827,0.19263720604344464,0.2390172343868029,validation_sigmoid_on_raw_log_odds,0.922122552183694,0.2078378922911725,0.3242209346547057,0.6787654552266766,0.4388294248557976,46547,30208,6859,14493,318136,0.0,CPU,sklearn_logistic_regression_full_training,full_training_fitted_prediction_model,318136.0,0.0,,,,Financial-only
run_20260806T154718Z,temporal,grade_only,Logistic Regression,0.26855038556289945,validation_best_f1,0.6800779704215751,0.36053025480037365,0.16604236797076855,0.16922547521979278,0.6719708886979121,0.3439417773958242,0.2639174422546385,0.32338333449081524,0.15973574070458074,0.16038956990455572,0.18470761648776354,0.23819993457001187,validation_sigmoid_on_raw_log_odds,0.9991446260387391,0.34508960302889896,0.29889781775287527,0.7595073061071562,0.4289757697598138,38716,38039,5135,16217,318136,0.0,CPU,sklearn_logistic_regression_full_training,full_training_fitted_prediction_model,318136.0,0.0,,,,Grade-only
run_20260806T154718Z,temporal,grade_only,LightGBM,0.2684710165154541,validation_best_f1,0.6800779704215751,0.36053025480037365,0.16604157393377808,0.2205002102752877,0.6719708886979121,0.3439417773958242,0.2639174422546385,0.32338333449081524,0.15973411744683363,0.22499215966293357,0.46730135883333473,0.2381824618005371,validation_sigmoid_on_raw_log_odds,0.9990882248517778,-1.137092489218618,0.29889781775287527,0.7595073061071562,0.4289757697598138,38716,38039,5135,16217,318136,,CPU,,,,,,,native,Grade-only
run_20260806T154718Z,temporal,grade_only,Explainable Boosting Machine,0.2688687923525441,validation_best_f1,0.6800779704215751,0.36053025480037365,0.16604378864578367,0.16924090733546066,0.6719708886979121,0.3439417773958242,0.2639174422546385,0.32338333449081524,0.15973234085275487,0.1603893392420288,0.18473684165541712,0.2382047615325311,validation_sigmoid_on_raw_log_odds,1.005104443063537,0.35292597271385834,0.29889781775287527,0.7595073061071562,0.4289757697598138,38716,38039,5135,16217,318136,,CPU,,,,,,,native,Grade-only
