run_id,split,partition,rows,defaults,non_defaults,default_prevalence,date_min,date_max
run_20260806T154718Z,random,train,320000,63938,256062,0.19980625,2007-06-01,2018-12-01
run_20260806T154718Z,random,validation,80000,15985,64015,0.1998125,2007-06-01,2018-12-01
run_20260806T154718Z,random,test,100000,19981,80019,0.19981,2007-07-01,2018-12-01
