feature,importance
int_rate,0.14996941630885202
term_months,0.08080270419239158
grade_A,0.0742736023659476
fico_score,0.043590465611735414
grade_B,0.04064480310427338
dti,0.040468888020009273
avg_cur_bal,0.036026044572629055
installment,0.032255738096013925
loan_amnt,0.0305567955319116
bc_open_to_buy,0.029658329414851487
acc_open_past_24mths,0.02881040427412064
annual_inc,0.02654303323805155
total_bc_limit,0.026246607406987497
revol_util,0.022909436070519103
grade_E,0.02192103196392253
bc_util,0.021569692110300086
credit_history_months,0.021210920401627795
grade_D,0.021083480800838963
revol_bal,0.02099578053721918
total_bal_ex_mort,0.01966913476609556
total_il_high_credit_limit,0.01817147655524561
mort_acc,0.018048050431082596
grade_C,0.015989070012847436
total_acc,0.015830130888780096
verification_status_Not Verified,0.014809416641163073
open_acc,0.014207512071588465
emp_length_num,0.010985778129417055
grade_F,0.010303499538166398
inq_last_6mths,0.0102998910840909
home_ownership_MORTGAGE,0.009195437069400398
home_ownership_RENT,0.008491578949777343
verification_status_Verified,0.0068981071784543335
emp_length_missing,0.00565991795665613
delinq_2yrs,0.0039690625135418165
verification_status_Source Verified,0.003662455930866401
initial_list_status_f,0.003595919842132001
initial_list_status_w,0.0035762786920809832
purpose_credit_card,0.00332361984175047
purpose_debt_consolidation,0.003239750564571997
pub_rec,0.0028637368611795213
