run_id,split,feature_set,model,probability_calibration,calibration_slope,calibration_intercept,raw_validation_brier_score,validation_brier_score,raw_brier_score,brier_score,raw_probability_mean,calibrated_probability_mean
run_20260806T154718Z,random,borrower_financial,LightGBM,validation_sigmoid_on_raw_log_odds,1.0260794187418356,-1.367209208828158,0.21014498187102199,0.14227150972481614,0.21013648849017397,0.14247742913933492,0.44876754396240437,0.19941117303989195
run_20260806T154718Z,random,borrower_financial,Explainable Boosting Machine,validation_sigmoid_on_raw_log_odds,0.9963397555341899,-0.004348068095699377,0.14299951852676876,0.14299951220177376,0.14314352548660703,0.14314319430085176,0.19947446035684419,0.19948288078546997
run_20260806T154718Z,random,borrower_financial,Logistic Regression,validation_sigmoid_on_raw_log_odds,0.9887604630521017,-0.015449148911161502,0.14399148544234933,0.14398189127003264,0.14398934758814116,0.14398116899049485,0.19941375880742665,0.19917813406381207
run_20260806T154718Z,random,borrower_only,LightGBM,validation_sigmoid_on_raw_log_odds,0.9791975424585353,-1.3822611903262927,0.24142899651712768,0.15659551528227275,0.241498056659882,0.15661493096242604,0.4887742136530524,0.19985200104416204
run_20260806T154718Z,random,borrower_only,Explainable Boosting Machine,validation_sigmoid_on_raw_log_odds,1.0109834909418203,0.015517508731688404,0.15664023065589386,0.15664005510665843,0.15666215032085945,0.15666270073812427,0.1998535444918814,0.19996534504072194
run_20260806T154718Z,random,borrower_only,Logistic Regression,validation_sigmoid_on_raw_log_odds,0.9943702460974757,-0.006943687494431581,0.1567634286578479,0.15676304223472592,0.15676881458537065,0.15676817900889217,0.19988124614057393,0.19998380694595816
run_20260806T154718Z,random,combined,LightGBM,validation_sigmoid_on_raw_log_odds,1.0241361280552408,-1.3667755901247183,0.21012961354979717,0.1422703846058734,0.21003529353033082,0.14240060131660826,0.44855724903678523,0.19942953504218836
run_20260806T154718Z,random,combined,MLP Neural Network,validation_sigmoid_on_raw_log_odds,0.9855233919334387,-0.08753075791936273,0.14244907395230838,0.14229957974716537,0.14253098745284018,0.14240343330714506,0.20934782883338166,0.19907289895605076
run_20260806T154718Z,random,combined,FT-Transformer,validation_sigmoid_on_raw_log_odds,1.0455715783687423,0.10561625925175663,0.14297816317412945,0.1428556162839102,0.14297378577891118,0.142833963728649,0.19247473430388606,0.19934432601525479
run_20260806T154718Z,random,combined,Explainable Boosting Machine,validation_sigmoid_on_raw_log_odds,0.9970323388234548,-0.003432460881542724,0.1428818206115874,0.14288195272636753,0.1430350126198669,0.14303478080651624,0.19950686664210465,0.19952599886550698
run_20260806T154718Z,random,combined,CatBoost,validation_sigmoid_on_raw_log_odds,1.05686643718082,-1.3865032275612503,0.21391142206529012,0.14317052714290449,0.21385105902977453,0.14328395748797818,0.45596867267978974,0.19949306592420585
run_20260806T154718Z,random,combined,Logistic Regression,validation_sigmoid_on_raw_log_odds,0.9874735922526021,-0.016453880219042816,0.14373258190572338,0.14372951123604566,0.1436935062058591,0.1436923338699744,0.19949319129458234,0.19930775454564797
run_20260806T154718Z,random,combined,Linear SVM,validation_sigmoid_on_raw_log_odds,2.2632457104307546,-1.3946887121676792,0.2235067792774365,0.14376849148997203,0.22336400903885104,0.1437451960358302,0.4784360082299131,0.19928372120877197
run_20260806T154718Z,random,combined,Probit Regression,validation_sigmoid_on_raw_log_odds,0.990720832666598,-0.013290260701108711,0.1437488694988787,0.14374975111998334,0.14371594587761624,0.14371839870379208,0.19961283706515867,0.19930937867483975
run_20260806T154718Z,random,combined,Random Forest,validation_sigmoid_on_raw_log_odds,1.2507794850960063,-1.2666484870999801,0.20451756394919543,0.14390207186298545,0.20440708443092254,0.1438702450447539,0.4406520265161705,0.19947889709508848
run_20260806T154718Z,random,combined,XGBoost,validation_sigmoid_on_raw_log_odds,1.1076768116031508,-1.3869386710566447,0.21544222495271373,0.1440024421510915,0.21536839284372739,0.14408012937632403,0.4594708185448498,0.19951575557999998
run_20260806T154718Z,random,financial_only,LightGBM,validation_sigmoid_on_raw_log_odds,1.012652586158829,-1.3668095056538587,0.2118546232149268,0.1431561289237951,0.2119833794910185,0.1433708723641073,0.4508696519605787,0.199634597136015
run_20260806T154718Z,random,financial_only,Explainable Boosting Machine,validation_sigmoid_on_raw_log_odds,1.0033496126650814,0.004166594494510782,0.143890838887946,0.14389039360319247,0.1440282700829823,0.1440279864322658,0.19970431471400665,0.19971989144404861
run_20260806T154718Z,random,financial_only,Logistic Regression,validation_sigmoid_on_raw_log_odds,0.9905748687592142,-0.01333862169486786,0.14490333855207022,0.14489588231850253,0.1448848824775216,0.14487923644631276,0.19963658974027942,0.19939338047256963
run_20260806T154718Z,random,grade_only,Logistic Regression,validation_sigmoid_on_raw_log_odds,1.000372104797391,-0.00041531605497199895,0.14875932622049753,0.1487592490401469,0.14876530105171284,0.1487653294121809,0.19980399614067756,0.19967277540001938
run_20260806T154718Z,random,grade_only,LightGBM,validation_sigmoid_on_raw_log_odds,1.0000521451409452,-1.3884141571671564,0.2252614128210854,0.14875843288038046,0.22512786577600377,0.14876548840667733,0.4682448807897057,0.19965818595130866
run_20260806T154718Z,random,grade_only,Explainable Boosting Machine,validation_sigmoid_on_raw_log_odds,1.0064074428509604,0.0072372880944358954,0.14876060707901836,0.1487593488295791,0.14876835367815894,0.148767025351018,0.19979305094284885,0.1996755168267142
