run_id,split,feature_set,model,validation_roc_auc,validation_avg_precision,tuning_train_rows,validation_rows,validation_source,n_estimators,learning_rate,num_leaves,min_child_samples,subsample,colsample_bytree,selected,interactions,max_rounds,outer_bags,max_depth,iterations,depth,l2_leaf_reg,min_samples_leaf,max_features,hidden_layer_sizes,dropout,lr,weight_decay,batch_size,d_token,n_heads,n_layers
run_20260806T154718Z,random,combined,LightGBM,0.7084242410634961,0.3758768031763328,20000,80000,fixed_pipeline_validation_set,300.0,0.05,31.0,50.0,0.85,0.85,True,,,,,,,,,,,,,,,,,
run_20260806T154718Z,random,combined,LightGBM,0.707576950790413,0.37466109140507264,20000,80000,fixed_pipeline_validation_set,500.0,0.03,31.0,80.0,0.9,0.9,False,,,,,,,,,,,,,,,,,
run_20260806T154718Z,random,combined,LightGBM,0.7002778658456335,0.3656684695325446,20000,80000,fixed_pipeline_validation_set,350.0,0.05,63.0,100.0,0.8,0.8,False,,,,,,,,,,,,,,,,,
run_20260806T154718Z,random,combined,CatBoost,0.716720583087846,0.3849349576059272,20000,80000,fixed_pipeline_validation_set,,0.05,,,,,True,,,,,300.0,4.0,3.0,,,,,,,,,,
run_20260806T154718Z,random,combined,CatBoost,0.7147006946365182,0.3827304958324271,20000,80000,fixed_pipeline_validation_set,,0.05,,,,,False,,,,,350.0,6.0,3.0,,,,,,,,,,
run_20260806T154718Z,random,combined,CatBoost,0.7159523366911068,0.3833158535641289,20000,80000,fixed_pipeline_validation_set,,0.03,,,,,False,,,,,500.0,6.0,5.0,,,,,,,,,,
run_20260806T154718Z,random,combined,Explainable Boosting Machine,0.7134110238815187,0.37960578164838715,12000,80000,fixed_pipeline_validation_set,,0.015,,,,,True,0.0,1500.0,4.0,,,,,,,,,,,,,,
run_20260806T154718Z,random,combined,Explainable Boosting Machine,0.712642303518605,0.37946212755888076,12000,80000,fixed_pipeline_validation_set,,0.015,,,,,False,10.0,2000.0,4.0,,,,,,,,,,,,,,
run_20260806T154718Z,random,combined,Explainable Boosting Machine,0.7124805041710123,0.3792627943599849,12000,80000,fixed_pipeline_validation_set,,0.01,,,,,False,10.0,2500.0,4.0,,,,,,,,,,,,,,
run_20260806T154718Z,random,combined,Random Forest,0.7123090613219635,0.37701952135451217,20000,80000,fixed_pipeline_validation_set,200.0,,,,,,False,,,,10.0,,,,20.0,sqrt,,,,,,,,
run_20260806T154718Z,random,combined,Random Forest,0.7128220959903171,0.3763308109003304,20000,80000,fixed_pipeline_validation_set,250.0,,,,,,False,,,,14.0,,,,30.0,sqrt,,,,,,,,
run_20260806T154718Z,random,combined,Random Forest,0.7131031921353083,0.37734209159318255,20000,80000,fixed_pipeline_validation_set,300.0,,,,,,False,,,,,,,,50.0,sqrt,,,,,,,,
run_20260806T154718Z,random,combined,Random Forest,0.7132477332506644,0.37662278892497225,20000,80000,fixed_pipeline_validation_set,250.0,,,,,,True,,,,18.0,,,,20.0,log2,,,,,,,,
run_20260806T154718Z,random,combined,MLP Neural Network,0.7088322844062857,0.374434693696323,12000,80000,fixed_pipeline_validation_set,,,,,,,False,,,,,,,,,,"(128, 64)",0.1,0.001,0.0001,512.0,,,
run_20260806T154718Z,random,combined,MLP Neural Network,0.7107988804918968,0.3771204583051165,12000,80000,fixed_pipeline_validation_set,,,,,,,True,,,,,,,,,,"(128, 64)",0.15,0.0005,0.0001,256.0,,,
run_20260806T154718Z,random,combined,FT-Transformer,0.7119733999433342,0.3725443955840415,12000,80000,fixed_pipeline_validation_set,,,,,,,True,,,,,,,,,,,0.1,0.001,0.0001,512.0,32.0,4.0,2.0
run_20260806T154718Z,random,combined,FT-Transformer,0.7116741904724931,0.3742581007381319,12000,80000,fixed_pipeline_validation_set,,,,,,,False,,,,,,,,,,,0.15,0.0005,0.0001,256.0,32.0,4.0,2.0
