run_id,split,feature_set,model,threshold,threshold_source,validation_roc_auc,validation_avg_precision,validation_brier_score,raw_validation_brier_score,roc_auc,gini,ks_statistic,avg_precision,brier_score,raw_brier_score,raw_probability_mean,calibrated_probability_mean,probability_calibration,calibration_slope,calibration_intercept,precision,recall,f1,tn,fp,fn,tp,training_rows,inference_rows,training_device,prediction_estimator,coefficient_source,coefficient_training_rows,supplementary_uncertainty_rows,epochs_trained,best_validation_auc_internal,raw_probability_output
run_20260806T154718Z,random,combined,LightGBM,0.21131265923341302,validation_best_f1,0.7272467874194035,0.39940258697357045,0.1422703846058734,0.21012961354979717,0.7266923585154056,0.4533847170308112,0.3297164898913306,0.398410354735422,0.14240060131660826,0.21003529353033082,0.44855724903678523,0.19942953504218836,validation_sigmoid_on_raw_log_odds,1.0241361280552408,-1.3667755901247183,0.33411638536373617,0.654872128522096,0.4424793723792777,53941,26078,6896,13085,320000,,CPU,,,,,,,native
run_20260806T154718Z,random,combined,MLP Neural Network,0.21764173008465112,validation_best_f1,0.726999473824253,0.39889568258452557,0.14229957974716537,0.14244907395230838,0.7263691722347618,0.45273834446952366,0.32907991368715767,0.39944751211119445,0.14240343330714506,0.14253098745284018,0.20934782883338166,0.19907289895605076,validation_sigmoid_on_raw_log_odds,0.9855233919334387,-0.08753075791936273,0.3393515404278219,0.6311996396576748,0.4413957232352221,55466,24553,7369,12612,320000,,NVIDIA GeForce RTX 5060 Laptop GPU,,,,,14.0,0.726999473824253,none
run_20260806T154718Z,random,combined,FT-Transformer,0.21570727602230194,validation_best_f1,0.7235760420457836,0.394411058998861,0.1428556162839102,0.14297816317412945,0.7240037944944335,0.44800758898886706,0.3246913176973379,0.39598651304231614,0.142833963728649,0.14297378577891118,0.19247473430388606,0.19934432601525479,validation_sigmoid_on_raw_log_odds,1.0455715783687423,0.10561625925175663,0.3337489609310058,0.6430108603173015,0.4394206269131453,54371,25648,7133,12848,320000,,NVIDIA GeForce RTX 5060 Laptop GPU,,,,,12.0,0.7235760420457836,none
run_20260806T154718Z,random,combined,Explainable Boosting Machine,0.21362850543459055,validation_best_f1,0.7233297208478494,0.39492749751779666,0.14288195272636753,0.1428818206115874,0.7230637817107346,0.4461275634214692,0.32353342869017165,0.3934618570671755,0.14303478080651624,0.1430350126198669,0.19950686664210465,0.19952599886550698,validation_sigmoid_on_raw_log_odds,0.9970323388234548,-0.003432460881542724,0.33342865313125536,0.6419098143236074,0.43888584724883656,54378,25641,7155,12826,320000,,CPU,,,,,,,native
run_20260806T154718Z,random,combined,CatBoost,0.20972271899154007,validation_best_f1,0.7218051290029651,0.3911520039343305,0.14317052714290449,0.21391142206529012,0.7215265273201382,0.44305305464027644,0.3239511989457381,0.39101399039554785,0.14328395748797818,0.21385105902977453,0.45596867267978974,0.19949306592420585,validation_sigmoid_on_raw_log_odds,1.05686643718082,-1.3865032275612503,0.3288499661238112,0.6558730794254541,0.43805990105629095,53273,26746,6876,13105,320000,,CPU,,,,,,,native
run_20260806T154718Z,random,combined,Logistic Regression,0.21933160023704265,validation_best_f1,0.7182956733411446,0.3870063871258915,0.14372951123604566,0.14373258190572338,0.7189933255923536,0.43798665118470725,0.31692856060643854,0.38774383890873554,0.1436923338699744,0.1436935062058591,0.19949319129458234,0.19930775454564797,validation_sigmoid_on_raw_log_odds,0.9874735922526021,-0.016453880219042816,0.33613627732870394,0.6201891797207347,0.4359772723274755,55545,24474,7589,12392,320000,0.0,CPU,sklearn_logistic_regression_full_training,full_training_fitted_prediction_model,320000.0,0.0,,,
run_20260806T154718Z,random,combined,Linear SVM,0.21183678352961222,validation_best_f1,0.7182806901465438,0.3866247141049095,0.14376849148997203,0.2235067792774365,0.7189454495949034,0.4378908991898067,0.31766350879784766,0.3869345518745448,0.1437451960358302,0.22336400903885104,0.4784360082299131,0.19928372120877197,validation_sigmoid_on_raw_log_odds,2.2632457104307546,-1.3946887121676792,0.3295111958566312,0.6400080076072269,0.43503997278448714,53998,26021,7193,12788,320000,,CPU,,,,,,,native
run_20260806T154718Z,random,combined,Probit Regression,0.21038232079474717,validation_best_f1,0.7183491738610783,0.38674870339172485,0.14374975111998334,0.1437488694988787,0.7189250000199674,0.4378500000399348,0.31687492863155575,0.38735383504445986,0.14371839870379208,0.14371594587761624,0.19961283706515867,0.19930937867483975,validation_sigmoid_on_raw_log_odds,0.990720832666598,-0.013290260701108711,0.3259622849415241,0.6514188479055102,0.4345039391106957,53104,26915,6965,13016,320000,0.0,CPU,statsmodels_regularized_probit_full_training,full_training_fitted_prediction_model,320000.0,0.0,,,
run_20260806T154718Z,random,combined,Random Forest,0.23409728951352518,validation_best_f1,0.7180274485538424,0.3841016090861126,0.14390207186298545,0.20451756394919543,0.7180897572210214,0.43617951444204284,0.31745834694874053,0.3861803102072001,0.1438702450447539,0.20440708443092254,0.4406520265161705,0.19947889709508848,validation_sigmoid_on_raw_log_odds,1.2507794850960063,-1.2666484870999801,0.34325586793164475,0.5921125068815375,0.4345797825448134,57383,22636,8150,11831,320000,,CPU,,,,,,,native
run_20260806T154718Z,random,combined,XGBoost,0.21884775203306844,validation_best_f1,0.7166830146721116,0.3842337715917565,0.1440024421510915,0.21544222495271373,0.7167529319313813,0.4335058638627627,0.3179902335379422,0.3837241359518313,0.14408012937632403,0.21536839284372739,0.4594708185448498,0.19951575557999998,validation_sigmoid_on_raw_log_odds,1.1076768116031508,-1.3869386710566447,0.335144486794799,0.6204894649917422,0.4352160634675466,55424,24595,7583,12398,320000,,CPU,,,,,,,native
