variable,population_nonmissing,sample_nonmissing,population_mean,sample_mean,population_std,sample_std,population_median,sample_median,population_p01,sample_p01,population_p99,sample_p99,standardized_mean_difference,ks_statistic
loan_amnt,1348099,500000,14408.998912542773,14418.9549,8716.137924859326,8712.013327877687,12000.0,12000.0,1500.0,1500.0,35000.0,35000.0,0.0011422475806437524,0.0009853560042696885
int_rate,1348099,500000,13.241562422344355,13.24171786,4.765685198806574,4.764181877050343,12.74,12.74,5.32,5.32,26.3,26.3,3.261601410085667e-05,0.0005609171359076681
fico_score,1348099,500000,698.1623018784229,698.170542,31.851109976478234,31.862850592951222,692.0,692.0,662.0,662.0,802.0,802.0,0.0002587075170419891,0.0005291896485347669
dti,1347190,499656,18.176187649848945,18.16733326528652,8.677765493624978,8.661667235164986,17.6,17.6,1.77,1.76,38.36,38.36,-0.0010203530585068926,0.0008479599684340089
annual_inc,1348095,499998,76237.74329475297,76294.07715478861,69922.74197462518,71096.48163979509,65000.0,65000.0,18000.0,18000.0,251000.0,252000.0,0.0008056586232856815,0.0004223517255690368
