home_ownership,default_rate,count
OTHER,0.23529411764705882,68
RENT,0.23221274058336297,199567
ANY,0.23008849557522124,113
OWN,0.20477103856682619,53699
MORTGAGE,0.17247589572187091,246533
NONE,0.15,20
