grade,default_rate,count
G,0.49430324276950044,3423
F,0.4484553391537945,11912
E,0.3866010359728701,34943
D,0.30389009283784146,74754
C,0.22554349742266225,141813
B,0.1335968866903271,145954
A,0.059173633329893005,87201
